record,series,episode,task_no,task_type,task_name,player,contestant,score,title,air_date,tiebreak_winner,full_name,accent_color,portrait_url,bio,analysis
score,21,2,1,P,Prize: Most unquestionable beauty,,Joanna,5,,,,,,,,
score,21,2,1,P,Prize: Most unquestionable beauty,,Joel,3,,,,,,,,
score,21,2,1,P,Prize: Most unquestionable beauty,,Kumail,1,,,,,,,,
score,21,2,2,F,Bowling outfit / ball in bucket,,Amy,2,,,,,,,,
score,21,2,2,F,Bowling outfit / ball in bucket,,Armando,0,,,,,,,,
score,21,2,2,F,Bowling outfit / ball in bucket,,Joanna,4,,,,,,,,
score,21,2,2,F,Bowling outfit / ball in bucket,,Joel,3,,,,,,,,
score,21,2,2,F,Bowling outfit / ball in bucket,,Kumail,5,,,,,,,,
score,21,2,3,F,Mirror your reflection,,Amy,4,,,,,,,,
score,21,2,3,F,Mirror your reflection,,Armando,5,,,,,,,,
score,21,2,3,F,Mirror your reflection,,Joanna,3,,,,,,,,
score,21,2,3,F,Mirror your reflection,,Joel,2,,,,,,,,
score,21,2,3,F,Mirror your reflection,,Kumail,1,,,,,,,,
score,21,2,4,F,Most things before balloon pops,,Amy,4,,,,,,,,
score,21,2,4,F,Most things before balloon pops,,Armando,2,,,,,,,,
score,21,2,4,F,Most things before balloon pops,,Joanna,5,,,,,,,,
score,21,2,4,F,Most things before balloon pops,,Joel,1,,,,,,,,
score,21,2,4,F,Most things before balloon pops,,Kumail,4,,,,,,,,
score,21,2,5,L,Live: Word the piper is piping,,Amy,5,,,,,,,,
score,21,2,5,L,Live: Word the piper is piping,,Armando,4,,,,,,,,
score,21,2,5,L,Live: Word the piper is piping,,Joanna,2,,,,,,,,
score,21,2,5,L,Live: Word the piper is piping,,Joel,4,,,,,,,,
score,21,2,5,L,Live: Word the piper is piping,,Kumail,2,,,,,,,,
pick,21,2,,,,Alex,Armando,,,,,,,,,
pick,21,2,,,,Amanda,Joel,,,,,,,,,
pick,21,2,,,,Amy D,Joanna,,,,,,,,,
pick,21,2,,,,Blinky,Joel,,,,,,,,,
pick,21,2,,,,Brady,Amy,,,,,,,,,
pick,21,2,,,,Claire,Joel,,,,,,,,,
pick,21,2,,,,Ellen,Joel,,,,,,,,,
pick,21,2,,,,Elyse,Kumail,,,,,,,,,
pick,21,2,,,,Emma,Armando,,,,,,,,,
pick,21,2,,,,Jamie,Amy,,,,,,,,,
pick,21,2,,,,Jill,Amy,,,,,,,,,
pick,21,2,,,,Julia,Amy,,,,,,,,,
pick,21,2,,,,Katherine,Amy,,,,,,,,,
pick,21,2,,,,Kevin,Amy,,,,,,,,,
pick,21,2,,,,Melissa,Kumail,,,,,,,,,
pick,21,2,,,,Riley,Kumail,,,,,,,,,
episode,21,3,,,,,,,A creepy bit of advice.,23 Apr 2026,,,,,,<strong>Amy</strong> won back-to-back with 22pts — the only contestant to do so. Kumail's resurgence (19pts) began here after his difficult opener. Joel and Joanna tied last on 12pts.
score,21,3,1,P,Prize: Fun thing to drag on string,,Amy,3,,,,,,,,
score,21,3,1,P,Prize: Fun thing to drag on string,,Armando,5,,,,,,,,
score,21,3,1,P,Prize: Fun thing to drag on string,,Joanna,1,,,,,,,,
score,21,3,1,P,Prize: Fun thing to drag on string,,Joel,2,,,,,,,,
score,21,3,1,P,Prize: Fun thing to drag on string,,Kumail,4,,,,,,,,
score,21,3,2,F,Headphones: build the tower,,Amy,4,,,,,,,,
score,21,3,2,F,Headphones: build the tower,,Armando,1,,,,,,,,
score,21,3,2,F,Headphones: build the tower,,Joanna,5,,,,,,,,
score,21,3,2,F,Headphones: build the tower,,Joel,3,,,,,,,,
score,21,3,2,F,Headphones: build the tower,,Kumail,2,,,,,,,,
score,21,3,3,T,Team: Paint while hugging,,Amy,5,,,,,,,,
score,21,3,3,T,Team: Paint while hugging,,Armando,1,,,,,,,,
score,21,3,3,T,Team: Paint while hugging,,Joanna,1,,,,,,,,
score,21,3,3,T,Team: Paint while hugging,,Joel,5,,,,,,,,
score,21,3,3,T,Team: Paint while hugging,,Kumail,5,,,,,,,,
score,21,3,4,F,Staircase: no repeat letters,,Amy,5,,,,,,,,
score,21,3,4,F,Staircase: no repeat letters,,Armando,3,,,,,,,,
score,21,3,4,F,Staircase: no repeat letters,,Joanna,2,,,,,,,,
score,21,3,4,F,Staircase: no repeat letters,,Joel,1,,,,,,,,
score,21,3,4,F,Staircase: no repeat letters,,Kumail,4,,,,,,,,
score,21,3,5,L,Live: Transfer Greg's balls,,Amy,5,,,,,,,,
score,21,3,5,L,Live: Transfer Greg's balls,,Armando,3,,,,,,,,
score,21,3,5,L,Live: Transfer Greg's balls,,Joanna,3,,,,,,,,
score,21,3,5,L,Live: Transfer Greg's balls,,Joel,1,,,,,,,,
score,21,3,5,L,Live: Transfer Greg's balls,,Kumail,4,,,,,,,,
pick,21,3,,,,Alex,Joanna,,,,,,,,,
pick,21,3,,,,Amanda,Amy,,,,,,,,,
pick,21,3,,,,Amy D,Joel,,,,,,,,,
pick,21,3,,,,Blinky,Armando,,,,,,,,,
pick,21,3,,,,Brady,Armando,,,,,,,,,
pick,21,3,,,,Claire,Amy,,,,,,,,,
pick,21,3,,,,Ellen,Amy,,,,,,,,,
pick,21,3,,,,Elyse,Armando,,,,,,,,,
pick,21,3,,,,Emma,Amy,,,,,,,,,
pick,21,3,,,,Jamie,Joanna,,,,,,,,,
pick,21,3,,,,Jill,Kumail,,,,,,,,,
pick,21,3,,,,Julia,Joanna,,,,,,,,,
pick,21,3,,,,Katherine,Armando,,,,,,,,,
pick,21,3,,,,Kevin,Armando,,,,,,,,,
pick,21,3,,,,Melissa,Joel,,,,,,,,,
pick,21,3,,,,Riley,Armando,,,,,,,,,
episode,21,4,,,,,,,Lou Reed and The Wombles.,30 Apr 2026,,,,,,<strong>Joel</strong> broke out with 20pts. Armando disqualified on the cloche task. Kumail (18pts) continued upward. Four contestants within 4pts of each other.
score,21,4,1,P,Prize: Two things better combined,,Amy,1,,,,,,,,
score,21,4,1,P,Prize: Two things better combined,,Armando,4,,,,,,,,
score,21,4,1,P,Prize: Two things better combined,,Joanna,3,,,,,,,,
score,21,4,1,P,Prize: Two things better combined,,Joel,5,,,,,,,,
score,21,4,1,P,Prize: Two things better combined,,Kumail,2,,,,,,,,
score,21,4,2,F,Make something boring exciting,,Amy,3,,,,,,,,
score,21,4,2,F,Make something boring exciting,,Armando,1,,,,,,,,
score,21,4,2,F,Make something boring exciting,,Joanna,5,,,,,,,,
score,21,4,2,F,Make something boring exciting,,Joel,5,,,,,,,,
score,21,4,2,F,Make something boring exciting,,Kumail,4,,,,,,,,
score,21,4,3,F,Work out food under cloche,,Amy,4,,,,,,,,
score,21,4,3,F,Work out food under cloche,,Armando,0,,,,,,,,
score,21,4,3,F,Work out food under cloche,,Joanna,5,,,,,,,,
score,21,4,3,F,Work out food under cloche,,Joel,0,,,,,,,,
score,21,4,3,F,Work out food under cloche,,Kumail,3,,,,,,,,
score,21,4,4,F,Complete all three tasks,,Amy,3,,,,,,,,
score,21,4,4,F,Complete all three tasks,,Armando,2,,,,,,,,
score,21,4,4,F,Complete all three tasks,,Joanna,1,,,,,,,,
score,21,4,4,F,Complete all three tasks,,Joel,5,,,,,,,,
score,21,4,4,F,Complete all three tasks,,Kumail,4,,,,,,,,
score,21,4,5,L,Team Live: Communicate item silently,,Amy,5,,,,,,,,
score,21,4,5,L,Team Live: Communicate item silently,,Armando,3,,,,,,,,
score,21,4,5,L,Team Live: Communicate item silently,,Joanna,3,,,,,,,,
score,21,4,5,L,Team Live: Communicate item silently,,Joel,5,,,,,,,,
score,21,4,5,L,Team Live: Communicate item silently,,Kumail,5,,,,,,,,
pick,21,4,,,,Alex,Joanna,,,,,,,,,
pick,21,4,,,,Amanda,Amy,,,,,,,,,
pick,21,4,,,,Amy D,Amy,,,,,,,,,
pick,21,4,,,,Blinky,Kumail,,,,,,,,,
pick,21,4,,,,Brady,Joanna,,,,,,,,,
pick,21,4,,,,Celia,Joel,,,,,,,,,
pick,21,4,,,,Claire,Armando,,,,,,,,,
pick,21,4,,,,Ellen,Kumail,,,,,,,,,
pick,21,4,,,,Elyse,Joanna,,,,,,,,,
pick,21,4,,,,Emma,Joanna,,,,,,,,,
pick,21,4,,,,Jamie,Amy,,,,,,,,,
pick,21,4,,,,Jill,Armando,,,,,,,,,
pick,21,4,,,,Julia,Joel,,,,,,,,,
pick,21,4,,,,Katherine,Joanna,,,,,,,,,
pick,21,4,,,,Kevin,Kumail,,,,,,,,,
pick,21,4,,,,Melissa,Armando,,,,,,,,,
pick,21,4,,,,Riley,Joel,,,,,,,,,
episode,21,5,,,,,,,I corroborate.,7 May 2026,,,,,,"<strong>Armando's episode</strong> — 24pts, the highest score of the series. He swept the filmed tasks. Amy had her worst week (11pts). Armando now leads prize tasks despite sitting last overall."
score,21,5,1,P,Prize: Surprising big thing to conceal,,Amy,2,,,,,,,,
score,21,5,1,P,Prize: Surprising big thing to conceal,,Armando,5,,,,,,,,
score,21,5,1,P,Prize: Surprising big thing to conceal,,Joanna,1,,,,,,,,
score,21,5,1,P,Prize: Surprising big thing to conceal,,Joel,4,,,,,,,,
score,21,5,1,P,Prize: Surprising big thing to conceal,,Kumail,3,,,,,,,,
score,21,5,2,F,Write & make a prediction,,Amy,3,,,,,,,,
score,21,5,2,F,Write & make a prediction,,Armando,5,,,,,,,,
score,21,5,2,F,Write & make a prediction,,Joanna,3,,,,,,,,
score,21,5,2,F,Write & make a prediction,,Joel,3,,,,,,,,
score,21,5,2,F,Write & make a prediction,,Kumail,4,,,,,,,,
score,21,5,3,T,Team: Win sardines,,Amy,3,,,,,,,,
score,21,5,3,T,Team: Win sardines,,Armando,5,,,,,,,,
score,21,5,3,T,Team: Win sardines,,Joanna,5,,,,,,,,
score,21,5,3,T,Team: Win sardines,,Joel,3,,,,,,,,
score,21,5,3,T,Team: Win sardines,,Kumail,3,,,,,,,,
score,21,5,4,F,Get a ball in the glass,,Amy,2,,,,,,,,
score,21,5,4,F,Get a ball in the glass,,Armando,5,,,,,,,,
score,21,5,4,F,Get a ball in the glass,,Joanna,4,,,,,,,,
score,21,5,4,F,Get a ball in the glass,,Joel,3,,,,,,,,
score,21,5,4,F,Get a ball in the glass,,Kumail,1,,,,,,,,
score,21,5,5,L,Live: Swing ring onto thing,,Amy,1,,,,,,,,
score,21,5,5,L,Live: Swing ring onto thing,,Armando,4,,,,,,,,
score,21,5,5,L,Live: Swing ring onto thing,,Joanna,3,,,,,,,,
score,21,5,5,L,Live: Swing ring onto thing,,Joel,3,,,,,,,,
score,21,5,5,L,Live: Swing ring onto thing,,Kumail,5,,,,,,,,
pick,21,5,,,,Alex,Kumail,,,,,,,,,
pick,21,5,,,,Amanda,Joanna,,,,,,,,,
pick,21,5,,,,Amy D,Kumail,,,,,,,,,
pick,21,5,,,,Blinky,Amy,,,,,,,,,
pick,21,5,,,,Brady,Joel,,,,,,,,,
pick,21,5,,,,Celia,Joanna,,,,,,,,,
pick,21,5,,,,Claire,Kumail,,,,,,,,,
pick,21,5,,,,Ellen,Kumail,,,,,,,,,
pick,21,5,,,,Elyse,Joel,,,,,,,,,
pick,21,5,,,,Emma,Kumail,,,,,,,,,
pick,21,5,,,,Jamie,Armando,,,,,,,,,
pick,21,5,,,,Jill,Amy,,,,,,,,,
pick,21,5,,,,Julia,Armando,,,,,,,,,
pick,21,5,,,,Katherine,Joel,,,,,,,,,
pick,21,5,,,,Kevin,Joanna,,,,,,,,,
pick,21,5,,,,Melissa,Amy,,,,,,,,,
pick,21,5,,,,Riley,Kumail,,,,,,,,,
episode,21,6,,,,,,,An even bigger spoon.,14 May 2026,,,,,,"The 200th Taskmaster episode. <strong>Kumail</strong> dominated with 20pts — his series high. Joanna, Joel, and Amy all tied on 16pts. Armando had his second-worst episode (11pts)."
score,21,6,1,P,Prize: Most embarrassing possession,,Amy,2,,,,,,,,
score,21,6,1,P,Prize: Most embarrassing possession,,Armando,2,,,,,,,,
score,21,6,1,P,Prize: Most embarrassing possession,,Joanna,5,,,,,,,,
score,21,6,1,P,Prize: Most embarrassing possession,,Joel,4,,,,,,,,
score,21,6,1,P,Prize: Most embarrassing possession,,Kumail,3,,,,,,,,
score,21,6,2,F,Be brave,,Amy,3,,,,,,,,
score,21,6,2,F,Be brave,,Armando,4,,,,,,,,
score,21,6,2,F,Be brave,,Joanna,2,,,,,,,,
score,21,6,2,F,Be brave,,Joel,4,,,,,,,,
score,21,6,2,F,Be brave,,Kumail,5,,,,,,,,
score,21,6,3,F,Win coconkers,,Amy,2,,,,,,,,
score,21,6,3,F,Win coconkers,,Armando,3,,,,,,,,
score,21,6,3,F,Win coconkers,,Joanna,4,,,,,,,,
score,21,6,3,F,Win coconkers,,Joel,1,,,,,,,,
score,21,6,3,F,Win coconkers,,Kumail,5,,,,,,,,
score,21,6,4,F,Photos: escalating-size things in mouth,,Amy,5,,,,,,,,
score,21,6,4,F,Photos: escalating-size things in mouth,,Armando,1,,,,,,,,
score,21,6,4,F,Photos: escalating-size things in mouth,,Joanna,3,,,,,,,,
score,21,6,4,F,Photos: escalating-size things in mouth,,Joel,4,,,,,,,,
score,21,6,4,F,Photos: escalating-size things in mouth,,Kumail,2,,,,,,,,
score,21,6,5,L,Live: Beanbags on opponents' faces,,Amy,4,,,,,,,,
score,21,6,5,L,Live: Beanbags on opponents' faces,,Armando,1,,,,,,,,
score,21,6,5,L,Live: Beanbags on opponents' faces,,Joanna,2,,,,,,,,
score,21,6,5,L,Live: Beanbags on opponents' faces,,Joel,3,,,,,,,,
score,21,6,5,L,Live: Beanbags on opponents' faces,,Kumail,5,,,,,,,,
pick,21,6,,,,Alex,Amy,,,,,,,,,
pick,21,6,,,,Amanda,Kumail,,,,,,,,,
pick,21,6,,,,Amy D,Armando,,,,,,,,,
pick,21,6,,,,Blinky,Joel,,,,,,,,,
pick,21,6,,,,Brady,Joanna,,,,,,,,,
pick,21,6,,,,Celia,Amy,,,,,,,,,
pick,21,6,,,,Claire,Joel,,,,,,,,,
pick,21,6,,,,Ellen,Armando,,,,,,,,,
pick,21,6,,,,Elyse,Joanna,,,,,,,,,
pick,21,6,,,,Emma,Amy,,,,,,,,,
pick,21,6,,,,Jamie,Joanna,,,,,,,,,
pick,21,6,,,,Jill,Joanna,,,,,,,,,
pick,21,6,,,,Julia,Kumail,,,,,,,,,
pick,21,6,,,,Katherine,Kumail,,,,,,,,,
pick,21,6,,,,Kevin,Joanna,,,,,,,,,
pick,21,6,,,,Melissa,Joel,,,,,,,,,
pick,21,6,,,,Riley,Amy,,,,,,,,,
episode,21,7,,,,,,,Putting things on things.,21 May 2026,,,,,,"The series milestone episode. <strong>Armando wins convincingly with 22pts</strong> — his second episode victory — driven by a 14-point filmed haul and a perfect 5 in the live task. Kumail (19pts) continued his late-series surge. Amy, Joel, and Joanna all scored between 10 and 15pts. At the top of the league, Julia and Ellen are now tied on 117pts with three episodes remaining."
score,21,7,1,P,Best bumpy thing,,Amy,2,,,,,,,,
score,21,7,1,P,Best bumpy thing,,Armando,3,,,,,,,,
score,21,7,1,P,Best bumpy thing,,Joanna,1,,,,,,,,
score,21,7,1,P,Best bumpy thing,,Joel,4,,,,,,,,
score,21,7,1,P,Best bumpy thing,,Kumail,5,,,,,,,,
score,21,7,2,F,Turn on the telly,,Amy,0,,,,,,,,
score,21,7,2,F,Turn on the telly,,Armando,0,,,,,,,,
score,21,7,2,F,Turn on the telly,,Joanna,0,,,,,,,,
score,21,7,2,F,Turn on the telly,,Joel,0,,,,,,,,
score,21,7,2,F,Turn on the telly,,Kumail,5,,,,,,,,
score,21,7,3,F,Find and eat a doughnut,,Amy,2,,,,,,,,
score,21,7,3,F,Find and eat a doughnut,,Armando,4,,,,,,,,
score,21,7,3,F,Find and eat a doughnut,,Joanna,3,,,,,,,,
score,21,7,3,F,Find and eat a doughnut,,Joel,1,,,,,,,,
score,21,7,3,F,Find and eat a doughnut,,Kumail,0,,,,,,,,
score,21,7,4,T,Have serious fun in the lab,,Amy,2,,,,,,,,
score,21,7,4,T,Have serious fun in the lab,,Armando,5,,,,,,,,
score,21,7,4,T,Have serious fun in the lab,,Joanna,5,,,,,,,,
score,21,7,4,T,Have serious fun in the lab,,Joel,2,,,,,,,,
score,21,7,4,T,Have serious fun in the lab,,Kumail,2,,,,,,,,
score,21,7,5,F,Make the most socks stand up,,Amy,3,,,,,,,,
score,21,7,5,F,Make the most socks stand up,,Armando,5,,,,,,,,
score,21,7,5,F,Make the most socks stand up,,Joanna,2,,,,,,,,
score,21,7,5,F,Make the most socks stand up,,Joel,1,,,,,,,,
score,21,7,5,F,Make the most socks stand up,,Kumail,4,,,,,,,,
score,21,7,6,L,Live: Snort raspberry or whistle,,Amy,1,,,,,,,,
score,21,7,6,L,Live: Snort raspberry or whistle,,Armando,5,,,,,,,,
score,21,7,6,L,Live: Snort raspberry or whistle,,Joanna,4,,,,,,,,
score,21,7,6,L,Live: Snort raspberry or whistle,,Joel,2,,,,,,,,
score,21,7,6,L,Live: Snort raspberry or whistle,,Kumail,3,,,,,,,,
pick,21,7,,,,Alex,Armando,,,,,,,,,
pick,21,7,,,,Amanda,Joel,,,,,,,,,
pick,21,7,,,,Amy D,Amy,,,,,,,,,
pick,21,7,,,,Blinky,Kumail,,,,,,,,,
pick,21,7,,,,Brady,Joel,,,,,,,,,
pick,21,7,,,,Celia,Kumail,,,,,,,,,
pick,21,7,,,,Claire,Joanna,,,,,,,,,
pick,21,7,,,,Ellen,Joanna,,,,,,,,,
pick,21,7,,,,Elyse,Joel,,,,,,,,,
pick,21,7,,,,Emma,Kumail,,,,,,,,,
pick,21,7,,,,Jamie,Amy,,,,,,,,,
pick,21,7,,,,Jill,Amy,,,,,,,,,
pick,21,7,,,,Julia,Joel,,,,,,,,,
pick,21,7,,,,Katherine,Amy,,,,,,,,,
pick,21,7,,,,Kevin,Joanna,,,,,,,,,
pick,21,7,,,,Melissa,Joanna,,,,,,,,,
pick,21,7,,,,Riley,Joel,,,,,,,,,
episode,21,8,,,,,,,I don't got any.,28 May 2026,,,,,,"<strong>Amy</strong> wins ep8 with 19pts — her second win. She swept the filmed tasks. Armando and Joanna tied on 18pts with a joint live task win. Joel had a quiet episode (13pts), his joint-second-lowest of the series. Kumail won the prize task with 5pts."
score,21,8,1,P,Prize: Ordinary household object with most personality,,Amy,3,,,,,,,,
score,21,8,1,P,Prize: Ordinary household object with most personality,,Armando,3,,,,,,,,
score,21,8,1,P,Prize: Ordinary household object with most personality,,Joanna,4,,,,,,,,
score,21,8,1,P,Prize: Ordinary household object with most personality,,Joel,2,,,,,,,,
score,21,8,1,P,Prize: Ordinary household object with most personality,,Kumail,5,,,,,,,,
score,21,8,2,F,Censor yourself unnecessarily,,Amy,5,,,,,,,,
score,21,8,2,F,Censor yourself unnecessarily,,Armando,4,,,,,,,,
score,21,8,2,F,Censor yourself unnecessarily,,Joanna,4,,,,,,,,
score,21,8,2,F,Censor yourself unnecessarily,,Joel,4,,,,,,,,
score,21,8,2,F,Censor yourself unnecessarily,,Kumail,4,,,,,,,,
score,21,8,3,F,Most photos featuring 50% of Alex,,Amy,4,,,,,,,,
score,21,8,3,F,Most photos featuring 50% of Alex,,Armando,4,,,,,,,,
score,21,8,3,F,Most photos featuring 50% of Alex,,Joanna,2,,,,,,,,
score,21,8,3,F,Most photos featuring 50% of Alex,,Joel,1,,,,,,,,
score,21,8,3,F,Most photos featuring 50% of Alex,,Kumail,5,,,,,,,,
score,21,8,4,F,"Nuts and nails in nappy, don't look away",,Amy,5,,,,,,,,
score,21,8,4,F,"Nuts and nails in nappy, don't look away",,Armando,2,,,,,,,,
score,21,8,4,F,"Nuts and nails in nappy, don't look away",,Joanna,3,,,,,,,,
score,21,8,4,F,"Nuts and nails in nappy, don't look away",,Joel,4,,,,,,,,
score,21,8,4,F,"Nuts and nails in nappy, don't look away",,Kumail,1,,,,,,,,
score,21,8,5,L,Team Live: Mop bearer with mask,,Amy,2,,,,,,,,
score,21,8,5,L,Team Live: Mop bearer with mask,,Armando,5,,,,,,,,
score,21,8,5,L,Team Live: Mop bearer with mask,,Joanna,5,,,,,,,,
score,21,8,5,L,Team Live: Mop bearer with mask,,Joel,2,,,,,,,,
score,21,8,5,L,Team Live: Mop bearer with mask,,Kumail,2,,,,,,,,
pick,21,8,,,,Alex,Joel,,,,,,,,,
pick,21,8,,,,Amanda,Joanna,,,,,,,,,
pick,21,8,,,,Amy D,Armando,,,,,,,,,
pick,21,8,,,,Blinky,Joanna,,,,,,,,,
pick,21,8,,,,Brady,Joel,,,,,,,,,
pick,21,8,,,,Celia,Amy,,,,,,,,,
pick,21,8,,,,Claire,Kumail,,,,,,,,,
pick,21,8,,,,Ellen,Joanna,,,,,,,,,
pick,21,8,,,,Elyse,Amy,,,,,,,,,
pick,21,8,,,,Emma,Joanna,,,,,,,,,
pick,21,8,,,,Jamie,Kumail,,,,,,,,,
pick,21,8,,,,Jill,Joel,,,,,,,,,
pick,21,8,,,,Katherine,Joanna,,,,,,,,,
pick,21,8,,,,Kevin,Amy,,,,,,,,,
pick,21,8,,,,Melissa,Joel,,,,,,,,,
pick,21,8,,,,Riley,Kumail,,,,,,,,,
episode,21,9,,,,,,,Maybe someone else wrote Veep?,4 Jun 2026,,,,,,"<strong>Armando</strong> wins ep9 with 17pts — his third episode win, equalling Amy. Joel 2nd on 16pts. Joanna and Kumail tied 3rd on 14pts. Amy continued a quiet stretch (13pts) — her post-win form has cooled since ep8. Kevin's Armando pick (17pts) was the standout call."
score,21,9,1,P,Prize: Thing to winch from a well,,Amy,5,,,,,,,,
score,21,9,1,P,Prize: Thing to winch from a well,,Armando,4,,,,,,,,
score,21,9,1,P,Prize: Thing to winch from a well,,Joanna,3,,,,,,,,
score,21,9,1,P,Prize: Thing to winch from a well,,Joel,2,,,,,,,,
score,21,9,1,P,Prize: Thing to winch from a well,,Kumail,1,,,,,,,,
score,21,9,2,F,Work out what powers the bulb,,Amy,2,,,,,,,,
score,21,9,2,F,Work out what powers the bulb,,Armando,0,,,,,,,,
score,21,9,2,F,Work out what powers the bulb,,Joanna,5,,,,,,,,
score,21,9,2,F,Work out what powers the bulb,,Joel,4,,,,,,,,
score,21,9,2,F,Work out what powers the bulb,,Kumail,3,,,,,,,,
