series,name,episodes,tasks,points,prize_per_ep,live_per_ep,solo_filmed_points,solo_filmed_tasks,first_or_last_pct,dq_pct,subj_minus_obj,fastest_ppt,solo_win_pct,solo_last_pct,episode_win_pct,team_ppt,dob,star_sign,age,seat,degree,footlights,birth_place,birth_country,height_cm,children,siblings,edinburgh_award,doctor_who,ghosts,biggest_film,marathon
13,Sophie Duker,10,50,173,3.10,3.50,90,26,38.08,6,-0.20,3.50,24.44,13.64,30,4.33,31-Jan-1990,Aquarius,32,5,OXBRIDGE,N,London,England,167,0,NA,Nom,,,,N
14,Dara Ó Briain,10,50,184,3.40,4.30,92,24,48.84,8,-0.08,2.80,39.53,9.3,30,2.78,04-Feb-1972,Aquarius,50,1,Y,N,Bray,Ireland,195,3,Multiple,N,,,,N
14,Fern Brady,10,50,144,2.90,3,70,24,41.86,12,1.21,1.80,16.28,25.58,10,2.78,26-May-1986,Gemini,36,2,Y,N,Bathgate,Scotland,172,0,1,N,,,Stitch Head,Will Run In 2026
14,John Kearns,10,50,144,2.60,2.60,72,24,44.19,8,0.36,1,16.28,27.91,20,3.33,10-Apr-1987,Aries,35,3,Y,N,London,England,179,1,NA,Y,,,,N
14,Munya Chawawa,10,50,150,2.20,3.20,70,24,39.53,8,-0.42,2.40,13.95,25.58,10,4,29-Dec-1992,Capricorn,29,4,Y,N,Derby,England,170.2,0,1,N,,,Rye Lane,N
14,Sarah Millican,10,50,174,3.20,3.30,83,24,37.21,4,0.41,3.20,27.91,9.3,30,4,29-May-1975,Gemini,47,5,N,N,South Shields,England,170,0,1,Newcomer,,,,N
15,Frankie Boyle,10,50,150,3.70,2.10,71,24,55.46,14,0.81,2.50,26.19,29.27,0,3,16-Aug-1972,Leo,50,1,Y,N,Glasgow,Scotland,183,2,NA,N,,,,N
15,Ivo Graham,10,50,131,2.90,2.10,60,24,38.73,18,0.92,0.50,11.9,26.83,20,3,05-Sep-1990,Virgo,32,2,OXBRIDGE,N,Tokyo,Japan,170,1,1,Nom,,,,Y
15,Jenny Eclair,10,50,152,3,3.90,56,24,38.68,8,0.01,2.25,14.29,24.39,20,5.25,16-Mar-1960,Pisces,63,3,Y,N,Kuala Lumpur,Malaysia,162.6,1,2,Y,,,,N
15,Kiell Smith-Bynoe,10,50,158,3.50,2.70,69,24,48.2,14,0.61,3,23.81,24.39,30,5.25,05-Mar-1989,Pisces,34,4,N,N,London,England,183,0,NA,N,,Y,,N
15,Mae Martin,10,50,174,3,3.50,82,24,55.34,14,0.20,3.75,30.95,24.39,30,5.25,02-May-1987,Taurus,35,5,N,N,Toronto,Canada,167,0,1,Nom,,,Zootropolis 2,N
16,Julian Clary,10,50,155,3.50,3.40,71,26,49.39,10,0.46,3.55,25.58,23.81,20,3.83,25-May-1959,Gemini,64,1,Y,N,Surrey,England,189,0,2,N,,,,N
16,Lucy Beaumont,10,50,129,2.70,3,57,26,47.29,12,0.05,2.27,13.95,33.33,20,3.83,10-Aug-1983,Leo,40,2,Y,N,Truro,England,154.9,1,NA,Nom,,,,N
16,Sam Campbell,10,50,161,2.80,3.70,81,26,51.61,6,-0.17,3.27,32.56,19.05,20,3.83,19-Sep-1992,Virgo,31,3,NA,N,Atherton,Australia,171,0,NA,Y,,,,N
16,Sue Perkins,10,50,137,3.60,2.70,62,26,56.53,16,1.69,1.64,25.58,30.95,30,2.83,22-Sep-1969,Virgo,53,4,OXBRIDGE,Y,London,England,166,0,2,N,,,Last Christmas,N
16,Susan Wokoma,10,50,139,2.80,2.70,72,26,32.95,10,0.81,2.82,16.28,16.67,10,2.83,31-Dec-1987,Capricorn,35,5,RADA,N,London,England,163,0,1,N,,,,N
17,Joanne McNally,10,50,171,3,3.30,77,24,38.1,2,-0.47,3.63,19.05,19.05,10,5.13,07-May-1983,Taurus,40,1,Y,N,Roscommon,Ireland,171.7,0,1,N,,,,N
17,John Robins,10,50,192,3.20,3.90,90,24,38.1,4,-0.39,3.50,28.57,9.52,50,5.13,04-May-1982,Taurus,41,2,OXBRIDGE,N,Bristol,England,180,0,1,Y,,,,Park Run
17,Nick Mohammed,10,50,131,2.60,2.50,60,24,47.62,12,0.55,1.88,16.67,30.95,10,2.88,04-Oct-1980,Libra,43,3,Y,Y,Yorkshire,England,164,3,NA,Emmy Nom,,,The Martian,N
17,Sophie Willan,10,50,144,2.70,2.80,58,24,45.24,8,-0.07,2.63,19.05,26.19,10,5.13,21-Oct-1987,Libra,36,4,N,N,Bolton,England,162.56,0,NA,Nom,,,,N
17,Steve Pemberton,10,50,153,3.90,2.50,69,24,40.48,12,1.08,2.50,21.43,19.05,20,2.88,01-Sep-1967,Virgo,56,5,Y,N,Blackburn,England,175,3,NA,Y,Y,,Better Man,N
18,Andy Zaltzman,10,50,160,3.80,2.50,76,25,40.97,12,0.58,3.64,25.58,15.38,30,4,06-Oct-1974,Libra,49,1,OXBRIDGE,N,London,England,178,2,1,Nom,,,,N
18,Babatunde Aléshé,10,50,147,2.30,2.10,82,25,34.23,10,-0.23,3.45,16.28,17.95,10,4,02-Aug-1986,Leo,38,2,RCSoSD,N,London,England,171,2,NA,Amused Moose,Y,,Sumotherhood,N
18,Emma Sidi,10,50,152,3.50,2,76,25,43.53,10,0.27,3.36,25.58,17.95,40,4,05-Feb-1991,Aquarius,33,3,OXBRIDGE,Y,NA,USA,167,0,2,N,,Y,Paddington in Peru,N
18,Jack Dee,10,50,157,3,2.80,90,25,35.84,8,0.35,2.73,25.58,10.26,10,1.71,24-Sep-1961,Virgo,62,4,N,N,Kent,England,169,4,2,Brit Com Award,,,,N
18,Rosie Jones,10,50,137,3.60,1.90,73,25,31.43,10,0.93,2.55,18.6,12.82,10,1.71,24-Jun-1990,Cancer,34,5,Y,N,Humberside,England,164,0,1,N,,,,Y
19,Fatiha El-Ghorri,10,50,141,2.30,2.50,75,25,42.86,4,-0.39,4,14.29,28.57,10,3.75,19-Apr-1981,Aries,44,1,N,N,London,England,165,0,12,N,,,,N
19,Jason Mantzoukas,10,50,150,3.70,2.90,71,25,47.62,6,0.81,2,23.81,23.81,20,3.25,18-Dec-1972,Sagittarius,52,2,Y,N,Massachusetts,USA,178,0,1,N,,,John Wick 3: Parabellum,N
19,Mathew Baynton,10,50,169,3.70,3.30,81,25,40.48,4,0.67,3.60,26.19,14.29,40,3.75,18-Nov-1980,Scorpio,44,3,Y,N,Essex,England,178,2,2,N,,Y,Wonka,N
19,Rosie Ramsey,10,50,149,2.60,2.90,76,25,33.33,4,-0.45,3.10,16.67,16.67,10,3.75,30-Aug-1986,Virgo,38,4,N,N,South Shields,England,164,2,2,N,,,,N
19,Stevie Martin,10,50,154,2.80,3.40,79,25,40.48,6,0.25,2.90,21.43,19.05,20,3.25,12-May-1988,Taurus,36,5,Y,N,Chester,England,173,0,1,N,,,,N
20,Ania Magliano,10,50,151,3.40,2.50,76,24,53.99,12,0.84,3.50,32.56,21.43,20,2.29,17-Feb-1998,Aquarius,27,1,OXBRIDGE,Y,Buckinghamshire,England,168,0,NA,Nom,,,,N
20,Maisie Adam,10,50,151,4.10,2.50,65,24,42.3,8,0.52,3.17,23.26,19.05,30,3.57,24-Jan-1994,Aquarius,31,2,Y,N,Harrogate,England,180,0,1,Nom,,,,Y
20,Phil Ellis,10,50,151,2.70,2.60,84,24,39.92,8,0.28,2.50,23.26,16.67,30,2,01-Jan-1981,NA,44,3,Y,N,Preston,England,176,0,NA,Nom,,,,N
20,Reece Shearsmith,10,50,148,3.20,3.20,62,24,37.76,10,1.44,2.33,13.95,23.81,10,3.86,27-Aug-1969,Virgo,56,4,Y,N,Hull,England,169,2,1,Y,Y,,Shaun of the Dead,N
20,Sanjeev Bhaskar,10,50,143,2.90,2,79,24,47.01,12,0.59,3.17,25.58,21.43,0,2.14,31-Oct-1963,Scorpio,61,5,Y,N,London,England,165,1,1,N,Y,,Paddington 2,N
21,Amy Gledhill,10,50,155,2.90,2.70,81,25,37.6,2,0.25,3.20,20.93,16.67,30,3.57,03-Nov-1987,Scorpio,38,1,Y,N,Hull,England,168,0,6,Y,,,,N
21,Armando Iannucci,10,50,161,3.80,3.20,70,25,42.3,8,0.88,2.20,23.26,19.05,30,4.14,28-Nov-1963,Sagittarius,62,2,OXBRIDGE,N,Glasgow,Scotland,165,3,3,N,,,Death of Stalin (writer/director),N
21,Joanna Page,10,50,165,3.10,3,83,25,35.22,0,-0.25,4,20.93,14.29,10,4.14,23-Mar-1977,Aries,49,3,RADA,N,Swansea,Wales,158,4,0,N,Y,,Love Actually,N
21,Joel Dommett,10,50,150,3,2.80,74,25,40.03,4,0.83,3.30,18.6,21.43,20,3.57,08-Jun-1985,Gemini,40,4,N,N,Gloucestershire,England,182,1,1,N,,,,Y
21,Kumail Nanjiani,10,50,160,2.80,3.40,80,25,35.22,2,-0.17,2.60,20.93,14.29,10,3.57,02-May-1978,Taurus,47,5,Y,N,Karachi,Pakistan,174,0,1,N,,,Eternals,N
22,Chloe Petts,4,20,67,3.25,3.75,30,10,39.87,5,0.78,3.50,22.22,17.65,50,4.50,01-Oct-1993,Libra,32,1,Y,N,Kent,England,183,0,1,N,,,,Half Marathon
22,Isy Suttie,4,20,59,4,2.75,25,10,68.63,15,1.51,2,33.33,35.29,25,3.50,11-Aug-1978,Leo,48,2,N,N,Hull,England,163,2,1,N,,,Wonka,N
22,Matt Lucas,4,20,56,3.50,2.25,24,10,40.2,10,0.77,3.33,16.67,23.53,0,4.50,05-Mar-1974,Pisces,52,3,Y,N,London,England,166.4,0,1,N,Y,N,Alice in Wonderland,N
22,Nina Conti,4,20,70,2.75,1.50,46,10,45.1,10,0.30,3.33,33.33,11.76,0,3.50,05-Jun-1974,Gemini,52,4,Y,N,London,England,173,2,0,N,,,For Your Consideration,N
22,Richard Ayoade,4,20,47,2,1.75,23,10,46.41,20,0.17,1.83,11.11,35.29,25,4.50,23-May-1977,Gemini,49,5,OXBRIDGE,Y,London,England,188,2,0,Y,,,The Bad Guys 2,N
